epoch seconds,bitstamp,bitfinex,okcoin,huobi,coinapult
1547607603,3664.8,3587.29,null,null,3664.75
1547607609,3664.7,3587.29,null,null,3664.75
1547607615,3664.7,3587.29,null,null,3664.75
1547607620,3664.8,3587.29,null,null,3664.75
1547607626,3664.8,3587.29,null,null,3664.75
1547607632,3664.8,3587.29,null,null,3664.75
1547607638,3664.8,3587.29,null,null,3664.75
1547607644,3664.7,3587.29,null,null,3664.75
1547607649,3664.8,3587.29,null,null,3664.75
1547607655,3664.7,3587.89,null,null,3664.75
1547607661,3664.7,3587.89,null,null,3664.75
1547607668,3664.7,3587.89,null,null,3664.75
1547607674,3664.7,3587.89,null,null,3664.75
1547607679,3664.7,3587.89,null,null,3664.75
1547607685,3664.7,3587.89,null,null,3664.75
1547607691,3664.8,3587.89,null,null,3664.75
1547607697,3664.7,3587.22,null,null,3664.75
1547607702,3664.7,3587.22,null,null,3664.75
1547607708,3664.7,3587.22,null,null,3664.75
1547607714,3664.7,3587.22,null,null,3664.75
1547607719,3664.7,3587.22,null,null,3664.75
1547607725,3664.7,3587.22,null,null,3664.75
1547607731,3664.7,3587.44,null,null,3664.75
1547607737,3664.7,3587.44,null,null,3664.75
1547607743,3664.7,3587.98,null,null,3664.75
1547607749,3664.7,3587.98,null,null,3664.75
1547607756,3664.7,3588.41,null,null,3664.75
1547607762,3664.7,3588.41,null,null,3664.75
1547607768,3664.7,3588.41,null,null,3664.75
1547607774,3664.7,3588.41,null,null,3664.75
1547607781,3664.7,3588.41,null,null,3664.75
1547607787,3664.7,3588.41,null,null,3664.75
1547607792,3664.7,3588.41,null,null,3664.75
1547607798,3664.7,3588.41,null,null,3664.75
1547607805,3664.7,3588.41,null,null,3664.75
1547607811,3664.7,3588.41,null,null,3664.75
1547607816,3664.7,3587.24,null,null,3664.75
1547607822,3665.0,3587.24,null,null,3665.05
1547607828,3664.7,3587.24,null,null,3665.05
1547607834,3665.0,3587.24,null,null,3665.05
1547607840,3665.0,3587.24,null,null,3665.05
1547607846,3665.0,3586.08,null,null,3665.05
1547607852,3665.0,3586.08,null,null,3665.05
1547607858,3665.0,3588.01,null,null,3665.05
1547607863,3665.0,3588.01,null,null,3665.05
1547607870,3665.0,3588.01,null,null,3665.05
1547607876,3665.0,3588.01,null,null,3665.05
